Consultant,Date,Hours,Client,Project
Michael Brown,2/2/2024,2,Innovate Ltd,Project 11
Michael Brown,2/2/2024,6,Innovate Ltd,Project 14
Emily Davis,2/2/2024,7,Global Systems,Project 17
Emily Davis,2/2/2024,6,Global Systems,Project 16
William Thomas,2/2/2024,8,NextGen Analytics,Project 23
William Thomas,2/2/2024,2,NextGen Analytics,Project 22
Ava Harris,2/2/2024,6,Acme Corp,Project 2
Ava Harris,2/2/2024,4,Acme Corp,Project 4
Alexander White,2/2/2024,8,Global Systems,Project 18
Mia Clark,2/2/2024,1,Innovate Ltd,Project 12
Mia Clark,2/2/2024,8,Innovate Ltd,Project 11
Mia Clark,2/2/2024,2,Innovate Ltd,Project 11
Benjamin Lewis,2/2/2024,8,NextGen Analytics,Project 22
Benjamin Lewis,2/2/2024,6,NextGen Analytics,Project 21
Benjamin Lewis,2/2/2024,8,NextGen Analytics,Project 22
Benjamin Lewis,2/2/2024,7,NextGen Analytics,Project 24
Charlotte Walker,2/2/2024,6,Acme Corp,Project 1
Henry Hall,2/2/2024,4,Acme Corp,Project 3
Henry Hall,2/2/2024,5,Acme Corp,Project 4
Amelia Allen,2/2/2024,7,Innovate Ltd,Project 14
Lucas Young,2/2/2024,2,Tech Solutions,Project 7
Isabella King,2/2/2024,5,Global Systems,Project 15
Mason Scott,2/2/2024,1,NextGen Analytics,Project 22
Emma Green,2/2/2024,5,NextGen Analytics,Project 21
Emma Green,2/2/2024,3,NextGen Analytics,Project 20
Ethan Baker,2/2/2024,2,Global Systems,Project 15
Ethan Baker,2/2/2024,1,Global Systems,Project 17
Ethan Baker,2/2/2024,5,Global Systems,Project 17
James Anderson,2/1/2024,6,Global Systems,Project 16
James Anderson,2/1/2024,1,Global Systems,Project 16
Sophia Martinez,2/1/2024,4,Global Systems,Project 17
Sophia Martinez,2/1/2024,1,Global Systems,Project 15
Sophia Martinez,2/1/2024,7,Global Systems,Project 19
Michael Brown,2/1/2024,5,Innovate Ltd,Project 13
Michael Brown,2/1/2024,1,Innovate Ltd,Project 14
Michael Brown,2/1/2024,4,Innovate Ltd,Project 13
Emily Davis,2/1/2024,5,Global Systems,Project 18
Emily Davis,2/1/2024,3,Global Systems,Project 15
Emily Davis,2/1/2024,8,Global Systems,Project 15
Emily Davis,2/1/2024,4,Global Systems,Project 16
Emily Davis,2/1/2024,4,Global Systems,Project 17
Daniel Wilson,2/1/2024,1,Global Systems,Project 18
Olivia Taylor,2/1/2024,8,NextGen Analytics,Project 21
Olivia Taylor,2/1/2024,5,NextGen Analytics,Project 22
William Thomas,2/1/2024,8,NextGen Analytics,Project 20
William Thomas,2/1/2024,7,NextGen Analytics,Project 24
Ava Harris,2/1/2024,7,Acme Corp,Project 4
Alexander White,2/1/2024,6,Global Systems,Project 18
Mia Clark,2/1/2024,2,Innovate Ltd,Project 11
Mia Clark,2/1/2024,6,Innovate Ltd,Project 12
Benjamin Lewis,2/1/2024,6,NextGen Analytics,Project 23
Charlotte Walker,2/1/2024,7,Acme Corp,Project 3
Henry Hall,2/1/2024,7,Acme Corp,Project 1
Henry Hall,2/1/2024,1,Acme Corp,Project 4
Henry Hall,2/1/2024,7,Acme Corp,Project 2
Amelia Allen,2/1/2024,2,Innovate Ltd,Project 11
Lucas Young,2/1/2024,3,Tech Solutions,Project 9
Isabella King,2/1/2024,3,Global Systems,Project 19
Mason Scott,2/1/2024,3,NextGen Analytics,Project 21
Mason Scott,2/1/2024,1,NextGen Analytics,Project 21
Ethan Baker,2/1/2024,2,Global Systems,Project 17
Ethan Baker,2/1/2024,3,Global Systems,Project 16
Harper Adams,2/1/2024,4,NextGen Analytics,Project 21
James Anderson,1/31/2024,7,Global Systems,Project 17
James Anderson,1/31/2024,1,Global Systems,Project 18
Michael Brown,1/31/2024,8,Innovate Ltd,Project 13
Michael Brown,1/31/2024,7,Innovate Ltd,Project 14
Daniel Wilson,1/31/2024,6,Global Systems,Project 15
Daniel Wilson,1/31/2024,7,Global Systems,Project 16
Olivia Taylor,1/31/2024,1,NextGen Analytics,Project 22
Olivia Taylor,1/31/2024,1,NextGen Analytics,Project 23
William Thomas,1/31/2024,1,NextGen Analytics,Project 24
Ava Harris,1/31/2024,2,Acme Corp,Project 4
Mia Clark,1/31/2024,1,Innovate Ltd,Project 13
Mia Clark,1/31/2024,3,Innovate Ltd,Project 13
Benjamin Lewis,1/31/2024,3,NextGen Analytics,Project 24
Charlotte Walker,1/31/2024,2,Acme Corp,Project 1
Henry Hall,1/31/2024,7,Acme Corp,Project 2
Amelia Allen,1/31/2024,5,Innovate Ltd,Project 13
Amelia Allen,1/31/2024,4,Innovate Ltd,Project 12
Lucas Young,1/31/2024,8,Tech Solutions,Project 9
Lucas Young,1/31/2024,8,Tech Solutions,Project 10
Isabella King,1/31/2024,2,Global Systems,Project 17
Mason Scott,1/31/2024,2,NextGen Analytics,Project 24
Harper Adams,1/31/2024,5,NextGen Analytics,Project 24
Harper Adams,1/31/2024,6,NextGen Analytics,Project 22
Harper Adams,1/31/2024,7,NextGen Analytics,Project 22
Sophia Martinez,1/30/2024,8,Global Systems,Project 15
Sophia Martinez,1/30/2024,6,Global Systems,Project 15
Emily Davis,1/30/2024,5,Global Systems,Project 17
Emily Davis,1/30/2024,3,Global Systems,Project 16
Emily Davis,1/30/2024,4,Global Systems,Project 16
Daniel Wilson,1/30/2024,5,Global Systems,Project 19
Daniel Wilson,1/30/2024,8,Global Systems,Project 16
Daniel Wilson,1/30/2024,2,Global Systems,Project 18
Olivia Taylor,1/30/2024,7,NextGen Analytics,Project 20
William Thomas,1/30/2024,8,NextGen Analytics,Project 22
Mia Clark,1/30/2024,8,Innovate Ltd,Project 13
Mia Clark,1/30/2024,7,Innovate Ltd,Project 13
Mia Clark,1/30/2024,3,Innovate Ltd,Project 11
Benjamin Lewis,1/30/2024,2,NextGen Analytics,Project 21
Charlotte Walker,1/30/2024,2,Acme Corp,Project 4
Charlotte Walker,1/30/2024,7,Acme Corp,Project 4
Henry Hall,1/30/2024,1,Acme Corp,Project 2
Henry Hall,1/30/2024,1,Acme Corp,Project 1
Henry Hall,1/30/2024,6,Acme Corp,Project 3
Isabella King,1/30/2024,3,Global Systems,Project 17
Isabella King,1/30/2024,5,Global Systems,Project 15
Isabella King,1/30/2024,8,Global Systems,Project 19
Isabella King,1/30/2024,1,Global Systems,Project 19
Mason Scott,1/30/2024,8,NextGen Analytics,Project 23
Emma Green,1/30/2024,6,NextGen Analytics,Project 24
Emma Green,1/30/2024,6,NextGen Analytics,Project 20
Ethan Baker,1/30/2024,3,Global Systems,Project 19
Ethan Baker,1/30/2024,4,Global Systems,Project 15
Harper Adams,1/30/2024,6,NextGen Analytics,Project 21
James Anderson,1/29/2024,2,Global Systems,Project 15
James Anderson,1/29/2024,5,Global Systems,Project 16
James Anderson,1/29/2024,3,Global Systems,Project 17
James Anderson,1/29/2024,6,Global Systems,Project 18
James Anderson,1/29/2024,3,Global Systems,Project 16
James Anderson,1/29/2024,4,Global Systems,Project 17
Michael Brown,1/29/2024,7,Innovate Ltd,Project 11
Emily Davis,1/29/2024,3,Global Systems,Project 15
Emily Davis,1/29/2024,7,Global Systems,Project 16
Daniel Wilson,1/29/2024,6,Global Systems,Project 17
Olivia Taylor,1/29/2024,4,NextGen Analytics,Project 24
Olivia Taylor,1/29/2024,5,NextGen Analytics,Project 22
William Thomas,1/29/2024,1,NextGen Analytics,Project 22
William Thomas,1/29/2024,4,NextGen Analytics,Project 22
Ava Harris,1/29/2024,2,Acme Corp,Project 4
Ava Harris,1/29/2024,2,Acme Corp,Project 2
Ava Harris,1/29/2024,2,Acme Corp,Project 2
Alexander White,1/29/2024,5,Global Systems,Project 19
Mia Clark,1/29/2024,5,Innovate Ltd,Project 14
Benjamin Lewis,1/29/2024,1,NextGen Analytics,Project 21
Benjamin Lewis,1/29/2024,6,NextGen Analytics,Project 24
Charlotte Walker,1/29/2024,2,Acme Corp,Project 5
Charlotte Walker,1/29/2024,1,Acme Corp,Project 5
Charlotte Walker,1/29/2024,1,Acme Corp,Project 4
Henry Hall,1/29/2024,8,Acme Corp,Project 5
Henry Hall,1/29/2024,4,Acme Corp,Project 1
Amelia Allen,1/29/2024,6,Innovate Ltd,Project 11
Emma Green,1/29/2024,4,NextGen Analytics,Project 23
Emma Green,1/29/2024,6,NextGen Analytics,Project 20
Ethan Baker,1/29/2024,3,Global Systems,Project 16
Ethan Baker,1/29/2024,5,Global Systems,Project 16
Harper Adams,1/29/2024,5,NextGen Analytics,Project 20
Harper Adams,1/29/2024,6,NextGen Analytics,Project 24
James Anderson,1/28/2024,3,Global Systems,Project 16
James Anderson,1/28/2024,6,Global Systems,Project 18
James Anderson,1/28/2024,3,Global Systems,Project 17
Emily Davis,1/28/2024,4,Global Systems,Project 15
William Thomas,1/28/2024,7,NextGen Analytics,Project 22
Ava Harris,1/28/2024,3,Acme Corp,Project 2
Ava Harris,1/28/2024,1,Acme Corp,Project 2
Mia Clark,1/28/2024,4,Innovate Ltd,Project 12
Benjamin Lewis,1/28/2024,8,NextGen Analytics,Project 21
Charlotte Walker,1/28/2024,4,Acme Corp,Project 3
Charlotte Walker,1/28/2024,7,Acme Corp,Project 4
Charlotte Walker,1/28/2024,6,Acme Corp,Project 4
Charlotte Walker,1/28/2024,3,Acme Corp,Project 3
Charlotte Walker,1/28/2024,6,Acme Corp,Project 4
Henry Hall,1/28/2024,4,Acme Corp,Project 2
Henry Hall,1/28/2024,3,Acme Corp,Project 5
Henry Hall,1/28/2024,3,Acme Corp,Project 1
Amelia Allen,1/28/2024,3,Innovate Ltd,Project 11
Mason Scott,1/28/2024,2,NextGen Analytics,Project 21
Emma Green,1/28/2024,2,NextGen Analytics,Project 20
Ethan Baker,1/28/2024,7,Global Systems,Project 16
Ethan Baker,1/28/2024,8,Global Systems,Project 15
Ethan Baker,1/28/2024,6,Global Systems,Project 15
Ethan Baker,1/28/2024,2,Global Systems,Project 17
Ethan Baker,1/28/2024,6,Global Systems,Project 17
James Anderson,1/27/2024,2,Global Systems,Project 16
James Anderson,1/27/2024,1,Global Systems,Project 16
Sophia Martinez,1/27/2024,7,Global Systems,Project 17
Sophia Martinez,1/27/2024,1,Global Systems,Project 17
Emily Davis,1/27/2024,6,Global Systems,Project 15
Emily Davis,1/27/2024,4,Global Systems,Project 15
Emily Davis,1/27/2024,8,Global Systems,Project 15
Daniel Wilson,1/27/2024,5,Global Systems,Project 17
Daniel Wilson,1/27/2024,4,Global Systems,Project 16
Olivia Taylor,1/27/2024,7,NextGen Analytics,Project 22
Olivia Taylor,1/27/2024,2,NextGen Analytics,Project 22
William Thomas,1/27/2024,7,NextGen Analytics,Project 22
William Thomas,1/27/2024,2,NextGen Analytics,Project 21
William Thomas,1/27/2024,6,NextGen Analytics,Project 22
Ava Harris,1/27/2024,3,Acme Corp,Project 3
Ava Harris,1/27/2024,6,Acme Corp,Project 5
Alexander White,1/27/2024,8,Global Systems,Project 16
Mia Clark,1/27/2024,6,Innovate Ltd,Project 13
Mia Clark,1/27/2024,7,Innovate Ltd,Project 14
Benjamin Lewis,1/27/2024,2,NextGen Analytics,Project 24
Benjamin Lewis,1/27/2024,6,NextGen Analytics,Project 24
Benjamin Lewis,1/27/2024,1,NextGen Analytics,Project 20
Benjamin Lewis,1/27/2024,3,NextGen Analytics,Project 21
Henry Hall,1/27/2024,7,Acme Corp,Project 1
Amelia Allen,1/27/2024,5,Innovate Ltd,Project 12
Lucas Young,1/27/2024,8,Tech Solutions,Project 6
Isabella King,1/27/2024,1,Global Systems,Project 17
Mason Scott,1/27/2024,7,NextGen Analytics,Project 21
Emma Green,1/27/2024,7,NextGen Analytics,Project 20
Emma Green,1/27/2024,3,NextGen Analytics,Project 20
Ethan Baker,1/27/2024,1,Global Systems,Project 17
Harper Adams,1/27/2024,2,NextGen Analytics,Project 21
James Anderson,1/26/2024,4,Global Systems,Project 15
Sophia Martinez,1/26/2024,3,Global Systems,Project 17
Michael Brown,1/26/2024,8,Innovate Ltd,Project 14
Michael Brown,1/26/2024,3,Innovate Ltd,Project 13
Emily Davis,1/26/2024,3,Global Systems,Project 15
Emily Davis,1/26/2024,4,Global Systems,Project 19
Emily Davis,1/26/2024,5,Global Systems,Project 17
Daniel Wilson,1/26/2024,3,Global Systems,Project 17
Daniel Wilson,1/26/2024,4,Global Systems,Project 18
William Thomas,1/26/2024,2,NextGen Analytics,Project 20
William Thomas,1/26/2024,1,NextGen Analytics,Project 20
William Thomas,1/26/2024,4,NextGen Analytics,Project 21
Alexander White,1/26/2024,7,Global Systems,Project 19
Alexander White,1/26/2024,2,Global Systems,Project 17
Mia Clark,1/26/2024,5,Innovate Ltd,Project 11
Mia Clark,1/26/2024,6,Innovate Ltd,Project 14
Benjamin Lewis,1/26/2024,1,NextGen Analytics,Project 22
Benjamin Lewis,1/26/2024,7,NextGen Analytics,Project 24
Henry Hall,1/26/2024,7,Acme Corp,Project 4
Henry Hall,1/26/2024,2,Acme Corp,Project 4
Amelia Allen,1/26/2024,4,Innovate Ltd,Project 11
Amelia Allen,1/26/2024,7,Innovate Ltd,Project 13
Lucas Young,1/26/2024,1,Tech Solutions,Project 7
Isabella King,1/26/2024,1,Global Systems,Project 15
Mason Scott,1/26/2024,7,NextGen Analytics,Project 22
Emma Green,1/26/2024,4,NextGen Analytics,Project 24
Emma Green,1/26/2024,2,NextGen Analytics,Project 24
Emma Green,1/26/2024,1,NextGen Analytics,Project 24
Ethan Baker,1/26/2024,3,Global Systems,Project 18
Harper Adams,1/26/2024,6,NextGen Analytics,Project 23
James Anderson,1/25/2024,2,Global Systems,Project 18
James Anderson,1/25/2024,6,Global Systems,Project 19
James Anderson,1/25/2024,7,Global Systems,Project 18
Emily Davis,1/25/2024,6,Global Systems,Project 19
Emily Davis,1/25/2024,3,Global Systems,Project 18
