Consultant,Date,Hours,Client,Project_x,Project_y,Hourly Rate,revenue
Henry Hall,2/10/2024,3,Acme Corp,Project 5,Project 3,50,150
Henry Hall,2/10/2024,3,Acme Corp,Project 5,Project 4,50,150
Henry Hall,2/10/2024,3,Acme Corp,Project 5,Project 5,50,150
Henry Hall,2/10/2024,5,Acme Corp,Project 4,Project 1,50,250
Henry Hall,2/10/2024,5,Acme Corp,Project 4,Project 2,50,250
Henry Hall,2/10/2024,5,Acme Corp,Project 4,Project 3,50,250
Henry Hall,2/10/2024,5,Acme Corp,Project 4,Project 4,50,250
Henry Hall,2/10/2024,5,Acme Corp,Project 4,Project 5,50,250
Henry Hall,2/10/2024,7,Acme Corp,Project 2,Project 1,50,350
Henry Hall,2/10/2024,7,Acme Corp,Project 2,Project 2,50,350
Henry Hall,2/10/2024,7,Acme Corp,Project 2,Project 3,50,350
Henry Hall,2/10/2024,7,Acme Corp,Project 2,Project 4,50,350
Henry Hall,2/10/2024,7,Acme Corp,Project 2,Project 5,50,350
Lucas Young,2/10/2024,2,Tech Solutions,Project 8,Project 6,60,120
Lucas Young,2/10/2024,2,Tech Solutions,Project 8,Project 7,60,120
Lucas Young,2/10/2024,2,Tech Solutions,Project 8,Project 8,60,120
Lucas Young,2/10/2024,2,Tech Solutions,Project 8,Project 9,60,120
Lucas Young,2/10/2024,2,Tech Solutions,Project 8,Project 10,60,120
Lucas Young,2/10/2024,5,Tech Solutions,Project 8,Project 6,60,300
Lucas Young,2/10/2024,5,Tech Solutions,Project 8,Project 7,60,300
Lucas Young,2/10/2024,5,Tech Solutions,Project 8,Project 8,60,300
Lucas Young,2/10/2024,5,Tech Solutions,Project 8,Project 9,60,300
Lucas Young,2/10/2024,5,Tech Solutions,Project 8,Project 10,60,300
Emma Green,2/10/2024,1,NextGen Analytics,Project 24,Project 20,65,65
Emma Green,2/10/2024,1,NextGen Analytics,Project 24,Project 21,65,65
Emma Green,2/10/2024,1,NextGen Analytics,Project 24,Project 22,65,65
Emma Green,2/10/2024,1,NextGen Analytics,Project 24,Project 23,65,65
Emma Green,2/10/2024,1,NextGen Analytics,Project 24,Project 24,65,65
Emma Green,2/10/2024,4,NextGen Analytics,Project 20,Project 20,65,260
Emma Green,2/10/2024,4,NextGen Analytics,Project 20,Project 21,65,260
Emma Green,2/10/2024,4,NextGen Analytics,Project 20,Project 22,65,260
Emma Green,2/10/2024,4,NextGen Analytics,Project 20,Project 23,65,260
Emma Green,2/10/2024,4,NextGen Analytics,Project 20,Project 24,65,260
Ethan Baker,2/10/2024,8,Global Systems,Project 15,Project 15,70,560
Ethan Baker,2/10/2024,8,Global Systems,Project 15,Project 16,70,560
Ethan Baker,2/10/2024,8,Global Systems,Project 15,Project 17,70,560
Ethan Baker,2/10/2024,8,Global Systems,Project 15,Project 18,70,560
Ethan Baker,2/10/2024,8,Global Systems,Project 15,Project 19,70,560
Ethan Baker,2/10/2024,5,Global Systems,Project 19,Project 15,70,350
Ethan Baker,2/10/2024,5,Global Systems,Project 19,Project 16,70,350
Ethan Baker,2/10/2024,5,Global Systems,Project 19,Project 17,70,350
Ethan Baker,2/10/2024,5,Global Systems,Project 19,Project 18,70,350
Ethan Baker,2/10/2024,5,Global Systems,Project 19,Project 19,70,350
Harper Adams,2/10/2024,7,NextGen Analytics,Project 21,Project 20,65,455
Harper Adams,2/10/2024,7,NextGen Analytics,Project 21,Project 21,65,455
Harper Adams,2/10/2024,7,NextGen Analytics,Project 21,Project 22,65,455
Harper Adams,2/10/2024,7,NextGen Analytics,Project 21,Project 23,65,455
Harper Adams,2/10/2024,7,NextGen Analytics,Project 21,Project 24,65,455
Harper Adams,2/10/2024,5,NextGen Analytics,Project 22,Project 20,65,325
Harper Adams,2/10/2024,5,NextGen Analytics,Project 22,Project 21,65,325
Harper Adams,2/10/2024,5,NextGen Analytics,Project 22,Project 22,65,325
Harper Adams,2/10/2024,5,NextGen Analytics,Project 22,Project 23,65,325
Harper Adams,2/10/2024,5,NextGen Analytics,Project 22,Project 24,65,325
Sophia Martinez,2/9/2024,4,Global Systems,Project 16,Project 15,70,280
Sophia Martinez,2/9/2024,4,Global Systems,Project 16,Project 16,70,280
Sophia Martinez,2/9/2024,4,Global Systems,Project 16,Project 17,70,280
Sophia Martinez,2/9/2024,4,Global Systems,Project 16,Project 18,70,280
Sophia Martinez,2/9/2024,4,Global Systems,Project 16,Project 19,70,280
Michael Brown,2/9/2024,3,Innovate Ltd,Project 12,Project 11,55,165
Michael Brown,2/9/2024,3,Innovate Ltd,Project 12,Project 12,55,165
Michael Brown,2/9/2024,3,Innovate Ltd,Project 12,Project 13,55,165
Michael Brown,2/9/2024,3,Innovate Ltd,Project 12,Project 14,55,165
Michael Brown,2/9/2024,4,Innovate Ltd,Project 14,Project 11,55,220
Michael Brown,2/9/2024,4,Innovate Ltd,Project 14,Project 12,55,220
Michael Brown,2/9/2024,4,Innovate Ltd,Project 14,Project 13,55,220
Michael Brown,2/9/2024,4,Innovate Ltd,Project 14,Project 14,55,220
Emily Davis,2/9/2024,2,Global Systems,Project 16,Project 15,70,140
Emily Davis,2/9/2024,2,Global Systems,Project 16,Project 16,70,140
Emily Davis,2/9/2024,2,Global Systems,Project 16,Project 17,70,140
Emily Davis,2/9/2024,2,Global Systems,Project 16,Project 18,70,140
Emily Davis,2/9/2024,2,Global Systems,Project 16,Project 19,70,140
Daniel Wilson,2/9/2024,6,Global Systems,Project 17,Project 15,70,420
Daniel Wilson,2/9/2024,6,Global Systems,Project 17,Project 16,70,420
Daniel Wilson,2/9/2024,6,Global Systems,Project 17,Project 17,70,420
Daniel Wilson,2/9/2024,6,Global Systems,Project 17,Project 18,70,420
Daniel Wilson,2/9/2024,6,Global Systems,Project 17,Project 19,70,420
Olivia Taylor,2/9/2024,8,NextGen Analytics,Project 24,Project 20,65,520
Olivia Taylor,2/9/2024,8,NextGen Analytics,Project 24,Project 21,65,520
Olivia Taylor,2/9/2024,8,NextGen Analytics,Project 24,Project 22,65,520
Olivia Taylor,2/9/2024,8,NextGen Analytics,Project 24,Project 23,65,520
Olivia Taylor,2/9/2024,8,NextGen Analytics,Project 24,Project 24,65,520
William Thomas,2/9/2024,4,NextGen Analytics,Project 20,Project 20,65,260
William Thomas,2/9/2024,4,NextGen Analytics,Project 20,Project 21,65,260
William Thomas,2/9/2024,4,NextGen Analytics,Project 20,Project 22,65,260
William Thomas,2/9/2024,4,NextGen Analytics,Project 20,Project 23,65,260
William Thomas,2/9/2024,4,NextGen Analytics,Project 20,Project 24,65,260
William Thomas,2/9/2024,6,NextGen Analytics,Project 22,Project 20,65,390
William Thomas,2/9/2024,6,NextGen Analytics,Project 22,Project 21,65,390
William Thomas,2/9/2024,6,NextGen Analytics,Project 22,Project 22,65,390
William Thomas,2/9/2024,6,NextGen Analytics,Project 22,Project 23,65,390
William Thomas,2/9/2024,6,NextGen Analytics,Project 22,Project 24,65,390
William Thomas,2/9/2024,8,NextGen Analytics,Project 24,Project 20,65,520
William Thomas,2/9/2024,8,NextGen Analytics,Project 24,Project 21,65,520
William Thomas,2/9/2024,8,NextGen Analytics,Project 24,Project 22,65,520
William Thomas,2/9/2024,8,NextGen Analytics,Project 24,Project 23,65,520
William Thomas,2/9/2024,8,NextGen Analytics,Project 24,Project 24,65,520
Ava Harris,2/9/2024,2,Acme Corp,Project 4,Project 1,50,100
Ava Harris,2/9/2024,2,Acme Corp,Project 4,Project 2,50,100
Ava Harris,2/9/2024,2,Acme Corp,Project 4,Project 3,50,100
Ava Harris,2/9/2024,2,Acme Corp,Project 4,Project 4,50,100
Ava Harris,2/9/2024,2,Acme Corp,Project 4,Project 5,50,100
Ava Harris,2/9/2024,6,Acme Corp,Project 5,Project 1,50,300
Ava Harris,2/9/2024,6,Acme Corp,Project 5,Project 2,50,300
Ava Harris,2/9/2024,6,Acme Corp,Project 5,Project 3,50,300
Ava Harris,2/9/2024,6,Acme Corp,Project 5,Project 4,50,300
Ava Harris,2/9/2024,6,Acme Corp,Project 5,Project 5,50,300
Alexander White,2/9/2024,3,Global Systems,Project 19,Project 15,70,210
Alexander White,2/9/2024,3,Global Systems,Project 19,Project 16,70,210
Alexander White,2/9/2024,3,Global Systems,Project 19,Project 17,70,210
Alexander White,2/9/2024,3,Global Systems,Project 19,Project 18,70,210
Alexander White,2/9/2024,3,Global Systems,Project 19,Project 19,70,210
Mia Clark,2/9/2024,4,Innovate Ltd,Project 11,Project 11,55,220
Mia Clark,2/9/2024,4,Innovate Ltd,Project 11,Project 12,55,220
Mia Clark,2/9/2024,4,Innovate Ltd,Project 11,Project 13,55,220
Mia Clark,2/9/2024,4,Innovate Ltd,Project 11,Project 14,55,220
Mia Clark,2/9/2024,5,Innovate Ltd,Project 13,Project 11,55,275
Mia Clark,2/9/2024,5,Innovate Ltd,Project 13,Project 12,55,275
Mia Clark,2/9/2024,5,Innovate Ltd,Project 13,Project 13,55,275
Mia Clark,2/9/2024,5,Innovate Ltd,Project 13,Project 14,55,275
Benjamin Lewis,2/9/2024,5,NextGen Analytics,Project 24,Project 20,65,325
Benjamin Lewis,2/9/2024,5,NextGen Analytics,Project 24,Project 21,65,325
Benjamin Lewis,2/9/2024,5,NextGen Analytics,Project 24,Project 22,65,325
Benjamin Lewis,2/9/2024,5,NextGen Analytics,Project 24,Project 23,65,325
Benjamin Lewis,2/9/2024,5,NextGen Analytics,Project 24,Project 24,65,325
Charlotte Walker,2/9/2024,7,Acme Corp,Project 2,Project 1,50,350
Charlotte Walker,2/9/2024,7,Acme Corp,Project 2,Project 2,50,350
Charlotte Walker,2/9/2024,7,Acme Corp,Project 2,Project 3,50,350
Charlotte Walker,2/9/2024,7,Acme Corp,Project 2,Project 4,50,350
Charlotte Walker,2/9/2024,7,Acme Corp,Project 2,Project 5,50,350
Henry Hall,2/9/2024,7,Acme Corp,Project 2,Project 1,50,350
Henry Hall,2/9/2024,7,Acme Corp,Project 2,Project 2,50,350
Henry Hall,2/9/2024,7,Acme Corp,Project 2,Project 3,50,350
Henry Hall,2/9/2024,7,Acme Corp,Project 2,Project 4,50,350
Henry Hall,2/9/2024,7,Acme Corp,Project 2,Project 5,50,350
Isabella King,2/9/2024,7,Global Systems,Project 18,Project 15,70,490
Isabella King,2/9/2024,7,Global Systems,Project 18,Project 16,70,490
Isabella King,2/9/2024,7,Global Systems,Project 18,Project 17,70,490
Isabella King,2/9/2024,7,Global Systems,Project 18,Project 18,70,490
Isabella King,2/9/2024,7,Global Systems,Project 18,Project 19,70,490
Isabella King,2/9/2024,3,Global Systems,Project 15,Project 15,70,210
Isabella King,2/9/2024,3,Global Systems,Project 15,Project 16,70,210
Isabella King,2/9/2024,3,Global Systems,Project 15,Project 17,70,210
Isabella King,2/9/2024,3,Global Systems,Project 15,Project 18,70,210
Isabella King,2/9/2024,3,Global Systems,Project 15,Project 19,70,210
Mason Scott,2/9/2024,2,NextGen Analytics,Project 24,Project 20,65,130
Mason Scott,2/9/2024,2,NextGen Analytics,Project 24,Project 21,65,130
Mason Scott,2/9/2024,2,NextGen Analytics,Project 24,Project 22,65,130
Mason Scott,2/9/2024,2,NextGen Analytics,Project 24,Project 23,65,130
Mason Scott,2/9/2024,2,NextGen Analytics,Project 24,Project 24,65,130
Mason Scott,2/9/2024,7,NextGen Analytics,Project 22,Project 20,65,455
Mason Scott,2/9/2024,7,NextGen Analytics,Project 22,Project 21,65,455
Mason Scott,2/9/2024,7,NextGen Analytics,Project 22,Project 22,65,455
Mason Scott,2/9/2024,7,NextGen Analytics,Project 22,Project 23,65,455
Mason Scott,2/9/2024,7,NextGen Analytics,Project 22,Project 24,65,455
Mason Scott,2/9/2024,1,NextGen Analytics,Project 22,Project 20,65,65
Mason Scott,2/9/2024,1,NextGen Analytics,Project 22,Project 21,65,65
Mason Scott,2/9/2024,1,NextGen Analytics,Project 22,Project 22,65,65
Mason Scott,2/9/2024,1,NextGen Analytics,Project 22,Project 23,65,65
Mason Scott,2/9/2024,1,NextGen Analytics,Project 22,Project 24,65,65
Emma Green,2/9/2024,1,NextGen Analytics,Project 24,Project 20,65,65
Emma Green,2/9/2024,1,NextGen Analytics,Project 24,Project 21,65,65
Emma Green,2/9/2024,1,NextGen Analytics,Project 24,Project 22,65,65
Emma Green,2/9/2024,1,NextGen Analytics,Project 24,Project 23,65,65
Emma Green,2/9/2024,1,NextGen Analytics,Project 24,Project 24,65,65
Ethan Baker,2/9/2024,1,Global Systems,Project 18,Project 15,70,70
Ethan Baker,2/9/2024,1,Global Systems,Project 18,Project 16,70,70
Ethan Baker,2/9/2024,1,Global Systems,Project 18,Project 17,70,70
Ethan Baker,2/9/2024,1,Global Systems,Project 18,Project 18,70,70
Ethan Baker,2/9/2024,1,Global Systems,Project 18,Project 19,70,70
Harper Adams,2/9/2024,5,NextGen Analytics,Project 23,Project 20,65,325
Harper Adams,2/9/2024,5,NextGen Analytics,Project 23,Project 21,65,325
Harper Adams,2/9/2024,5,NextGen Analytics,Project 23,Project 22,65,325
Harper Adams,2/9/2024,5,NextGen Analytics,Project 23,Project 23,65,325
Harper Adams,2/9/2024,5,NextGen Analytics,Project 23,Project 24,65,325
Harper Adams,2/9/2024,3,NextGen Analytics,Project 24,Project 20,65,195
Harper Adams,2/9/2024,3,NextGen Analytics,Project 24,Project 21,65,195
Harper Adams,2/9/2024,3,NextGen Analytics,Project 24,Project 22,65,195
Harper Adams,2/9/2024,3,NextGen Analytics,Project 24,Project 23,65,195
Harper Adams,2/9/2024,3,NextGen Analytics,Project 24,Project 24,65,195
James Anderson,2/8/2024,2,Global Systems,Project 15,Project 15,70,140
James Anderson,2/8/2024,2,Global Systems,Project 15,Project 16,70,140
James Anderson,2/8/2024,2,Global Systems,Project 15,Project 17,70,140
James Anderson,2/8/2024,2,Global Systems,Project 15,Project 18,70,140
James Anderson,2/8/2024,2,Global Systems,Project 15,Project 19,70,140
James Anderson,2/8/2024,7,Global Systems,Project 15,Project 15,70,490
James Anderson,2/8/2024,7,Global Systems,Project 15,Project 16,70,490
James Anderson,2/8/2024,7,Global Systems,Project 15,Project 17,70,490
James Anderson,2/8/2024,7,Global Systems,Project 15,Project 18,70,490
James Anderson,2/8/2024,7,Global Systems,Project 15,Project 19,70,490
Sophia Martinez,2/8/2024,6,Global Systems,Project 15,Project 15,70,420
Sophia Martinez,2/8/2024,6,Global Systems,Project 15,Project 16,70,420
Sophia Martinez,2/8/2024,6,Global Systems,Project 15,Project 17,70,420
Sophia Martinez,2/8/2024,6,Global Systems,Project 15,Project 18,70,420
Sophia Martinez,2/8/2024,6,Global Systems,Project 15,Project 19,70,420
Sophia Martinez,2/8/2024,2,Global Systems,Project 16,Project 15,70,140
Sophia Martinez,2/8/2024,2,Global Systems,Project 16,Project 16,70,140
Sophia Martinez,2/8/2024,2,Global Systems,Project 16,Project 17,70,140
Sophia Martinez,2/8/2024,2,Global Systems,Project 16,Project 18,70,140
Sophia Martinez,2/8/2024,2,Global Systems,Project 16,Project 19,70,140
Michael Brown,2/8/2024,5,Innovate Ltd,Project 12,Project 11,55,275
Michael Brown,2/8/2024,5,Innovate Ltd,Project 12,Project 12,55,275
Michael Brown,2/8/2024,5,Innovate Ltd,Project 12,Project 13,55,275
Michael Brown,2/8/2024,5,Innovate Ltd,Project 12,Project 14,55,275
Michael Brown,2/8/2024,6,Innovate Ltd,Project 12,Project 11,55,330
Michael Brown,2/8/2024,6,Innovate Ltd,Project 12,Project 12,55,330
Michael Brown,2/8/2024,6,Innovate Ltd,Project 12,Project 13,55,330
Michael Brown,2/8/2024,6,Innovate Ltd,Project 12,Project 14,55,330
Michael Brown,2/8/2024,1,Innovate Ltd,Project 11,Project 11,55,55
Michael Brown,2/8/2024,1,Innovate Ltd,Project 11,Project 12,55,55
Michael Brown,2/8/2024,1,Innovate Ltd,Project 11,Project 13,55,55
Michael Brown,2/8/2024,1,Innovate Ltd,Project 11,Project 14,55,55
Emily Davis,2/8/2024,4,Global Systems,Project 18,Project 15,70,280
Emily Davis,2/8/2024,4,Global Systems,Project 18,Project 16,70,280
Emily Davis,2/8/2024,4,Global Systems,Project 18,Project 17,70,280
Emily Davis,2/8/2024,4,Global Systems,Project 18,Project 18,70,280
Emily Davis,2/8/2024,4,Global Systems,Project 18,Project 19,70,280
Olivia Taylor,2/8/2024,2,NextGen Analytics,Project 23,Project 20,65,130
Olivia Taylor,2/8/2024,2,NextGen Analytics,Project 23,Project 21,65,130
Olivia Taylor,2/8/2024,2,NextGen Analytics,Project 23,Project 22,65,130
Olivia Taylor,2/8/2024,2,NextGen Analytics,Project 23,Project 23,65,130
Olivia Taylor,2/8/2024,2,NextGen Analytics,Project 23,Project 24,65,130
Olivia Taylor,2/8/2024,4,NextGen Analytics,Project 23,Project 20,65,260
Olivia Taylor,2/8/2024,4,NextGen Analytics,Project 23,Project 21,65,260
Olivia Taylor,2/8/2024,4,NextGen Analytics,Project 23,Project 22,65,260
Olivia Taylor,2/8/2024,4,NextGen Analytics,Project 23,Project 23,65,260
Olivia Taylor,2/8/2024,4,NextGen Analytics,Project 23,Project 24,65,260
William Thomas,2/8/2024,1,NextGen Analytics,Project 20,Project 20,65,65
William Thomas,2/8/2024,1,NextGen Analytics,Project 20,Project 21,65,65
William Thomas,2/8/2024,1,NextGen Analytics,Project 20,Project 22,65,65
William Thomas,2/8/2024,1,NextGen Analytics,Project 20,Project 23,65,65
William Thomas,2/8/2024,1,NextGen Analytics,Project 20,Project 24,65,65
William Thomas,2/8/2024,4,NextGen Analytics,Project 23,Project 20,65,260
William Thomas,2/8/2024,4,NextGen Analytics,Project 23,Project 21,65,260
William Thomas,2/8/2024,4,NextGen Analytics,Project 23,Project 22,65,260
William Thomas,2/8/2024,4,NextGen Analytics,Project 23,Project 23,65,260
William Thomas,2/8/2024,4,NextGen Analytics,Project 23,Project 24,65,260
William Thomas,2/8/2024,3,NextGen Analytics,Project 22,Project 20,65,195
William Thomas,2/8/2024,3,NextGen Analytics,Project 22,Project 21,65,195
William Thomas,2/8/2024,3,NextGen Analytics,Project 22,Project 22,65,195
William Thomas,2/8/2024,3,NextGen Analytics,Project 22,Project 23,65,195
William Thomas,2/8/2024,3,NextGen Analytics,Project 22,Project 24,65,195
William Thomas,2/8/2024,3,NextGen Analytics,Project 20,Project 20,65,195
William Thomas,2/8/2024,3,NextGen Analytics,Project 20,Project 21,65,195
William Thomas,2/8/2024,3,NextGen Analytics,Project 20,Project 22,65,195
William Thomas,2/8/2024,3,NextGen Analytics,Project 20,Project 23,65,195
William Thomas,2/8/2024,3,NextGen Analytics,Project 20,Project 24,65,195
Alexander White,2/8/2024,8,Global Systems,Project 18,Project 15,70,560
Alexander White,2/8/2024,8,Global Systems,Project 18,Project 16,70,560
Alexander White,2/8/2024,8,Global Systems,Project 18,Project 17,70,560
Alexander White,2/8/2024,8,Global Systems,Project 18,Project 18,70,560
Alexander White,2/8/2024,8,Global Systems,Project 18,Project 19,70,560
Mia Clark,2/8/2024,3,Innovate Ltd,Project 12,Project 11,55,165
Mia Clark,2/8/2024,3,Innovate Ltd,Project 12,Project 12,55,165
Mia Clark,2/8/2024,3,Innovate Ltd,Project 12,Project 13,55,165
Mia Clark,2/8/2024,3,Innovate Ltd,Project 12,Project 14,55,165
Mia Clark,2/8/2024,6,Innovate Ltd,Project 12,Project 11,55,330
Mia Clark,2/8/2024,6,Innovate Ltd,Project 12,Project 12,55,330
Mia Clark,2/8/2024,6,Innovate Ltd,Project 12,Project 13,55,330
Mia Clark,2/8/2024,6,Innovate Ltd,Project 12,Project 14,55,330
Benjamin Lewis,2/8/2024,4,NextGen Analytics,Project 20,Project 20,65,260
Benjamin Lewis,2/8/2024,4,NextGen Analytics,Project 20,Project 21,65,260
Benjamin Lewis,2/8/2024,4,NextGen Analytics,Project 20,Project 22,65,260
Benjamin Lewis,2/8/2024,4,NextGen Analytics,Project 20,Project 23,65,260
Benjamin Lewis,2/8/2024,4,NextGen Analytics,Project 20,Project 24,65,260
Charlotte Walker,2/8/2024,4,Acme Corp,Project 5,Project 1,50,200
Charlotte Walker,2/8/2024,4,Acme Corp,Project 5,Project 2,50,200
Charlotte Walker,2/8/2024,4,Acme Corp,Project 5,Project 3,50,200
Charlotte Walker,2/8/2024,4,Acme Corp,Project 5,Project 4,50,200
Charlotte Walker,2/8/2024,4,Acme Corp,Project 5,Project 5,50,200
Charlotte Walker,2/8/2024,8,Acme Corp,Project 4,Project 1,50,400
Charlotte Walker,2/8/2024,8,Acme Corp,Project 4,Project 2,50,400
Charlotte Walker,2/8/2024,8,Acme Corp,Project 4,Project 3,50,400
Charlotte Walker,2/8/2024,8,Acme Corp,Project 4,Project 4,50,400
Charlotte Walker,2/8/2024,8,Acme Corp,Project 4,Project 5,50,400
Amelia Allen,2/8/2024,2,Innovate Ltd,Project 13,Project 11,55,110
Amelia Allen,2/8/2024,2,Innovate Ltd,Project 13,Project 12,55,110
